article_id,outlet,entity_type,sentence_resolved,description_phrase,extraction_method,token_span
CNN_0003,CNN,victim,"An 18-year-old gunman on Tuesday fatally shot 19 children and two adults at an elementary school in Uvalde, Texas, before An 18-year-old gunman was killed by law enforcement officers, officials said.",19 children,pos,46-57
CNN_0003,CNN,victim,"Tuesday's massacre is the second-deadliest school shooting since 2012, when 26 children and adults were killed at Sandy Hook Elementary School.",were killed,dep,99-110
CNN_0003,CNN,victim,"Tuesday's massacre is the second-deadliest school shooting since 2012, when 26 children and adults were killed at Sandy Hook Elementary School.",deadliest school shooting,pos,33-58
CNN_0003,CNN,victim,"Tuesday's massacre is the second-deadliest school shooting since 2012, when 26 children and adults were killed at Sandy Hook Elementary School.",the second-deadliest school shooting,pos,22-58
CNN_0003,CNN,victim,"Tuesday's massacre is the second-deadliest school shooting since 2012, when 26 children and adults were killed at Sandy Hook Elementary School.",26 children,pos,76-87
CNN_0003,CNN,victim,"the deadly shooting at a Texas elementary school is at least the 30th shooting at a K-12 school in 2022, according to a CNN tally.",the deadly shooting,pos,0-19
CNN_0003,CNN,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Products from the ""Yeezy Gap Engineered By Balenciaga"" collection had been set to launch for purchase on Wednesday morning on Yeezygap.com and Balenciaga online partners farfetch.com, mytheresa.com and luisaviaroma.com.",had been set,dep,124-136
CNN_0004,CNN,victim,"Just before killing 19 children and two teachers in a Texas elementary school Tuesday, the 18-year-old gunman allegedly texted a girl who lives in Germany about the 18-year-old gunman intentions.",killing children,dep,12-31
CNN_0004,CNN,victim,"Just before killing 19 children and two teachers in a Texas elementary school Tuesday, the 18-year-old gunman allegedly texted a girl who lives in Germany about the 18-year-old gunman intentions.",19 children,pos,20-31
CNN_0004,CNN,victim,"Just before killing 19 children and two teachers in a Texas elementary school Tuesday, the 18-year-old gunman allegedly texted a girl who lives in Germany about the 18-year-old gunman intentions.",two teachers,pos,36-48
CNN_0005,CNN,victim,"Nineteen children and two teachers were close to celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two teachers lives and devastating a nation.",celebrating end,dep,49-68
CNN_0005,CNN,victim,"Nineteen children and two teachers were close to celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two teachers lives and devastating a nation.",stealing children,dep,153-179
CNN_0005,CNN,victim,"Nineteen children and two teachers were close to celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two teachers lives and devastating a nation.",lives,dep,197-202
CNN_0005,CNN,victim,"Nineteen children and two teachers were close to celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two teachers lives and devastating a nation.",devastating nation,dep,207-227
CNN_0005,CNN,victim,"Nineteen children and two teachers were close to celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two teachers lives and devastating a nation.",Nineteen children,pos,0-17
CNN_0005,CNN,victim,"Nineteen children and two teachers were close to celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two teachers lives and devastating a nation.",two teachers,pos,22-34
CNN_0005,CNN,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives family member was among the victims.",LIVE UPDATES,pos,0-12
CNN_0005,CNN,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives family member was among the victims.",grim task,pos,84-93
CNN_0005,CNN,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives family member was among the victims.",Relatives family member,pos,157-180
CNN_0005,CNN,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives family member was among the victims.",the victims,pos,191-202
CNN_0006,CNN,victim,"Armstrong, 34, accused in the May 11 shooting of Wilson -- who had previously dated Armstrong's boyfriend -- in what investigators believe may have been a deadly act of romantic jealousy.",a deadly act,pos,153-165
CNN_0006,CNN,victim,"elite cyclist Anna Moriah ""Mo"" Wilson was pronounced dead at the scene.",was pronounced,dep,38-52
CNN_0007,CNN,victim,"An 18-year-old gunman on Tuesday fatally shot 19 children and two teachers at an elementary school before An 18-year-old gunman was killed by law enforcement officers, officials said.",fatally shot children,dep,33-57
CNN_0007,CNN,victim,"An 18-year-old gunman on Tuesday fatally shot 19 children and two teachers at an elementary school before An 18-year-old gunman was killed by law enforcement officers, officials said.",19 children,pos,46-57
CNN_0007,CNN,victim,"An 18-year-old gunman on Tuesday fatally shot 19 children and two teachers at an elementary school before An 18-year-old gunman was killed by law enforcement officers, officials said.",two teachers,pos,62-74
CNN_0007,CNN,victim,"a horrific shooting at a Texas elementary school is the deadliest shooting at a school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children aged between 6 and 7 years old.",left people,dep,145-159
CNN_0007,CNN,victim,"a horrific shooting at a Texas elementary school is the deadliest shooting at a school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children aged between 6 and 7 years old.",including,dep,166-175
CNN_0007,CNN,victim,"a horrific shooting at a Texas elementary school is the deadliest shooting at a school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children aged between 6 and 7 years old.",aged,dep,188-192
CNN_0007,CNN,victim,"a horrific shooting at a Texas elementary school is the deadliest shooting at a school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children aged between 6 and 7 years old.",deadliest shooting,pos,56-74
CNN_0007,CNN,victim,"a horrific shooting at a Texas elementary school is the deadliest shooting at a school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children aged between 6 and 7 years old.",the deadliest shooting,pos,52-74
CNN_0007,CNN,victim,"a horrific shooting at a Texas elementary school is the deadliest shooting at a school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children aged between 6 and 7 years old.",26 people,pos,150-159
CNN_0007,CNN,victim,"a horrific shooting at a Texas elementary school is the deadliest shooting at a school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children aged between 6 and 7 years old.",20 children,pos,176-187
CNN_0008,CNN,victim,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas 18th birthday.",killed kids,dep,16-30
CNN_0008,CNN,victim,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas 18th birthday.",local school student,pos,96-121
CNN_0008,CNN,victim,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas 18th birthday.",few friends,pos,127-145
CNN_0008,CNN,victim,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas 18th birthday.",19 kids,pos,23-30
CNN_0008,CNN,victim,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas 18th birthday.",two teachers,pos,35-47
CNN_0008,CNN,victim,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas 18th birthday.",a local high school student,pos,94-121
CNN_0008,CNN,victim,"Responding officers eventually forced Responding officers way into the room and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",fatally shot suspect,dep,80-104
CNN_0008,CNN,victim,"Responding officers eventually forced Responding officers way into the room and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",killed kids,dep,109-123
CNN_0008,CNN,victim,"Responding officers eventually forced Responding officers way into the room and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",19 kids,pos,116-123
CNN_0008,CNN,victim,"Responding officers eventually forced Responding officers way into the room and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",two teachers,pos,128-140
CNN_0008,CNN,victim,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do this, and why?

An examination of Ramos' personal background reveals a bullied loner with no criminal history and -- like so many other mass shooters in America -- interest in and access to high-powered firearms and ammunition.",were set,dep,54-62
CNN_0008,CNN,victim,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week",killed kids,dep,16-30
CNN_0008,CNN,victim,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week",purchased guns,dep,89-103
CNN_0008,CNN,victim,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week",19 kids,pos,23-30
CNN_0008,CNN,victim,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week",two teachers,pos,35-47
CNN_0008,CNN,victim,"The suspect's actions leading up to the shooting offer hints at The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas mindset and plan.",killed kids,dep,80-94
CNN_0008,CNN,victim,"The suspect's actions leading up to the shooting offer hints at The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas mindset and plan.",19 kids,pos,87-94
CNN_0008,CNN,victim,"The suspect's actions leading up to the shooting offer hints at The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas mindset and plan.",two teachers,pos,99-111
CNN_0009,CNN,victim,"The NRA's annual meeting was canceled in 2020 and 2021 due to the coronavirus pandemic, but this year the organization is moving ahead with The National Rifle Association plans, holding the meeting at a time when both gun rights and the organization itself have come under intense scrutiny, especially after a shooting at an elementary school in Uvalde, Texas, left 21 dead.",was canceled,dep,25-37
CNN_0010,CNN,victim,Texas Democratic gubernatorial nominee Beto O'Rourke confronted Texas Republican Gov. Greg Abbott and other officials on Wednesday as Texas Republican Gov. Greg Abbott and other officials tried to provide updates on Tuesday's deadly shooting at an elementary school in the state.,Tuesday's deadly shooting,pos,216-241
CNN_0011,CNN,victim,"A suspect is in custody after a shooting incident at Robb Elementary School in Uvalde, Texas, left at least two dead and injured 14 people, including students, authorities said.",injured people,dep,121-138
CNN_0011,CNN,victim,"A suspect is in custody after a shooting incident at Robb Elementary School in Uvalde, Texas, left at least two dead and injured 14 people, including students, authorities said.",including,dep,140-149
CNN_0011,CNN,victim,"A suspect is in custody after a shooting incident at Robb Elementary School in Uvalde, Texas, left at least two dead and injured 14 people, including students, authorities said.",said,dep,172-176
CNN_0011,CNN,victim,"A suspect is in custody after a shooting incident at Robb Elementary School in Uvalde, Texas, left at least two dead and injured 14 people, including students, authorities said.",14 people,pos,129-138
CNN_0011,CNN,victim,"Two have died after the shooting at Robb Elementary School, a spokesperson from Uvalde Memorial Hospital told CNN.",Uvalde Memorial Hospital,pos,80-104
CNN_0013,CNN,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making the tragedy political.",left children,dep,152-168
CNN_0013,CNN,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making the tragedy political.",was shouted down,dep,213-229
CNN_0013,CNN,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making the tragedy political.",was shouted,dep,213-224
CNN_0013,CNN,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making the tragedy political.",a mass school shooting,pos,124-146
CNN_0013,CNN,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making the tragedy political.",19 children,pos,157-168
CNN_0013,CNN,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making the tragedy political.",Democrat Beto O'Rourke,pos,190-212
CNN_0013,CNN,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making the tragedy political.",the tragedy,pos,241-252
CNN_0015,CNN,victim,"Just before killing 19 children and two teachers in a Texas elementary school Tuesday, the 18-year-old gunman allegedly texted a girl who lives in Germany about the 18-year-old gunman intentions.",killing children,dep,12-31
CNN_0015,CNN,victim,"Just before killing 19 children and two teachers in a Texas elementary school Tuesday, the 18-year-old gunman allegedly texted a girl who lives in Germany about the 18-year-old gunman intentions.",19 children,pos,20-31
CNN_0015,CNN,victim,"Just before killing 19 children and two teachers in a Texas elementary school Tuesday, the 18-year-old gunman allegedly texted a girl who lives in Germany about the 18-year-old gunman intentions.",two teachers,pos,36-48
CNN_0016,CNN,victim,"The deliberations come as the country mourns another tragedy, victims of gun violence plea for more action, and the political branches seem forever divided on a path forward.",mourns tragedy,dep,38-60
CNN_0016,CNN,victim,"The deliberations come as the country mourns another tragedy, victims of gun violence plea for more action, and the political branches seem forever divided on a path forward.",seem,dep,135-139
CNN_0016,CNN,victim,"The deliberations come as the country mourns another tragedy, victims of gun violence plea for more action, and the political branches seem forever divided on a path forward.",another tragedy,pos,45-60
CNN_0017,CNN,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making the tragedy political.",left children,dep,152-168
CNN_0017,CNN,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making the tragedy political.",was shouted down,dep,213-229
CNN_0017,CNN,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making the tragedy political.",was shouted,dep,213-224
CNN_0017,CNN,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making the tragedy political.",a mass school shooting,pos,124-146
CNN_0017,CNN,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making the tragedy political.",19 children,pos,157-168
CNN_0017,CNN,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making the tragedy political.",Democrat Beto O'Rourke,pos,190-212
CNN_0017,CNN,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making the tragedy political.",the tragedy,pos,241-252
CNN_0018,CNN,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left at least two dead and injured more than a dozen others, including students, authorities said.",injured others,dep,110-142
CNN_0018,CNN,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left at least two dead and injured more than a dozen others, including students, authorities said.",including,dep,144-153
CNN_0018,CNN,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left at least two dead and injured more than a dozen others, including students, authorities said.",said,dep,176-180
CNN_0018,CNN,victim,"Two people died in the school shooting, and the hospital received 13 children who were being treated for various injuries, said Tom Nordwick, a spokesperson from Uvalde Memorial Hospital.",died,dep,11-15
CNN_0018,CNN,victim,"Two people died in the school shooting, and the hospital received 13 children who were being treated for various injuries, said Tom Nordwick, a spokesperson from Uvalde Memorial Hospital.",received children,dep,57-77
CNN_0018,CNN,victim,"Two people died in the school shooting, and the hospital received 13 children who were being treated for various injuries, said Tom Nordwick, a spokesperson from Uvalde Memorial Hospital.",were being treated,dep,82-100
CNN_0018,CNN,victim,"Two people died in the school shooting, and the hospital received 13 children who were being treated for various injuries, said Tom Nordwick, a spokesperson from Uvalde Memorial Hospital.",Two people,pos,0-10
CNN_0018,CNN,victim,"Two people died in the school shooting, and the hospital received 13 children who were being treated for various injuries, said Tom Nordwick, a spokesperson from Uvalde Memorial Hospital.",the school shooting,pos,19-38
CNN_0018,CNN,victim,"Two people died in the school shooting, and the hospital received 13 children who were being treated for various injuries, said Tom Nordwick, a spokesperson from Uvalde Memorial Hospital.",the hospital,pos,44-56
CNN_0018,CNN,victim,"Two people died in the school shooting, and the hospital received 13 children who were being treated for various injuries, said Tom Nordwick, a spokesperson from Uvalde Memorial Hospital.",13 children,pos,66-77
CNN_0018,CNN,victim,"Two people died in the school shooting, and the hospital received 13 children who were being treated for various injuries, said Tom Nordwick, a spokesperson from Uvalde Memorial Hospital.",Uvalde Memorial Hospital,pos,162-186
CNN_0019,CNN,victim,"An 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and a teacher, Gov. Greg Abbott said.",killing students,dep,85-104
CNN_0019,CNN,victim,"An 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and a teacher, Gov. Greg Abbott said.",14 students,pos,93-104
CNN_0019,CNN,victim,"An 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and a teacher, Gov. Greg Abbott said.",a teacher,pos,109-118
CNN_0019,CNN,victim,"The gunman is also dead, Gov. Greg Abbott said.",said,dep,42-46
CNN_0019,CNN,victim,"The gunman is also dead, Gov. Greg Abbott said.",Gov. Greg Abbott,pos,25-41
CNN_0019,CNN,victim,Uvalde Memorial Hospital spokesperson Tom Nordwick earlier said that two people died in the school shooting and that 13 children and a man in a man in his 40s 40s were being treated for injuries.,said,dep,59-63
CNN_0019,CNN,victim,Uvalde Memorial Hospital spokesperson Tom Nordwick earlier said that two people died in the school shooting and that 13 children and a man in a man in his 40s 40s were being treated for injuries.,died,dep,80-84
CNN_0019,CNN,victim,Uvalde Memorial Hospital spokesperson Tom Nordwick earlier said that two people died in the school shooting and that 13 children and a man in a man in his 40s 40s were being treated for injuries.,were being treated,dep,163-181
CNN_0019,CNN,victim,Uvalde Memorial Hospital spokesperson Tom Nordwick earlier said that two people died in the school shooting and that 13 children and a man in a man in his 40s 40s were being treated for injuries.,Uvalde Memorial Hospital spokesperson Tom Nordwick,pos,0-50
CNN_0019,CNN,victim,Uvalde Memorial Hospital spokesperson Tom Nordwick earlier said that two people died in the school shooting and that 13 children and a man in a man in his 40s 40s were being treated for injuries.,two people,pos,69-79
CNN_0019,CNN,victim,Uvalde Memorial Hospital spokesperson Tom Nordwick earlier said that two people died in the school shooting and that 13 children and a man in a man in his 40s 40s were being treated for injuries.,the school shooting,pos,88-107
CNN_0019,CNN,victim,Uvalde Memorial Hospital spokesperson Tom Nordwick earlier said that two people died in the school shooting and that 13 children and a man in a man in his 40s 40s were being treated for injuries.,13 children,pos,117-128
CNN_0020,CNN,victim,"Eighteen children and one adult were killed in Tuesday's mass shooting in Uvalde, Texas, according to Sgt.",were killed,dep,32-43
CNN_0020,CNN,victim,"Eighteen children and one adult were killed in Tuesday's mass shooting in Uvalde, Texas, according to Sgt.",Eighteen children,pos,0-17
CNN_0020,CNN,victim,"Eighteen children and one adult were killed in Tuesday's mass shooting in Uvalde, Texas, according to Sgt.",Tuesday's mass shooting,pos,47-70
CNN_0020,CNN,victim,Estrada did not provide any other information on the victims.,did not provide information,dep,8-45
CNN_0020,CNN,victim,Estrada did not provide any other information on the victims.,other information,pos,28-45
CNN_0020,CNN,victim,Estrada did not provide any other information on the victims.,the victims,pos,49-60
CNN_0020,CNN,victim,"Gov. Greg Abbott said earlier Tuesday ""it is believed"" that the shooter, 18-year-old Salvador Ramos, was killed by law enforcement.",is believed,dep,42-53
CNN_0020,CNN,victim,"Gov. Greg Abbott said earlier Tuesday ""it is believed"" that the shooter, 18-year-old Salvador Ramos, was killed by law enforcement.",was killed by enforcement,dep,101-130
CNN_0020,CNN,victim,Estrada confirmed the suspect was killed.,was killed,dep,30-40
CNN_0020,CNN,victim,"Two days before the start of summer break, an 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and one teacher, Gov. Greg Abbott said.",killing students,dep,128-147
CNN_0020,CNN,victim,"Two days before the start of summer break, an 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and one teacher, Gov. Greg Abbott said.",14 students,pos,136-147
CNN_0020,CNN,victim,"Two days before the start of summer break, an 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and one teacher, Gov. Greg Abbott said.",one teacher,pos,152-163
CNN_0021,CNN,victim,"An 18-year-old gunman on Tuesday fatally shot 18 children and an adult at a Texas elementary school before An 18-year-old gunman was killed by law enforcement officers, officials said.",fatally shot children,dep,33-57
CNN_0021,CNN,victim,"An 18-year-old gunman on Tuesday fatally shot 18 children and an adult at a Texas elementary school before An 18-year-old gunman was killed by law enforcement officers, officials said.",18 children,pos,46-57
CNN_0021,CNN,victim,"The shooting was the deadliest at an elementary school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children between 6 and 7 years old.",left people,dep,113-127
CNN_0021,CNN,victim,"The shooting was the deadliest at an elementary school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children between 6 and 7 years old.",including,dep,134-143
CNN_0021,CNN,victim,"The shooting was the deadliest at an elementary school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children between 6 and 7 years old.",elementary school,pos,37-54
CNN_0021,CNN,victim,"The shooting was the deadliest at an elementary school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children between 6 and 7 years old.",children old,pos,147-181
CNN_0021,CNN,victim,"The shooting was the deadliest at an elementary school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children between 6 and 7 years old.",26 people,pos,118-127
CNN_0021,CNN,victim,"The shooting was the deadliest at an elementary school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children between 6 and 7 years old.",20 children,pos,144-155
CNN_0022,CNN,victim,"Just two days before students in a Texas elementary school were set to begin students in a Texas elementary school summer break, a gunman clad in body armor rushed a gunman clad in body armor way into the school and opened fire on classrooms of young children, killing 19 students and two adults, officials said.",were set,dep,59-67
CNN_0022,CNN,victim,"Just two days before students in a Texas elementary school were set to begin students in a Texas elementary school summer break, a gunman clad in body armor rushed a gunman clad in body armor way into the school and opened fire on classrooms of young children, killing 19 students and two adults, officials said.",to begin students,dep,68-85
CNN_0022,CNN,victim,"Just two days before students in a Texas elementary school were set to begin students in a Texas elementary school summer break, a gunman clad in body armor rushed a gunman clad in body armor way into the school and opened fire on classrooms of young children, killing 19 students and two adults, officials said.",killing students,dep,261-280
CNN_0022,CNN,victim,"Just two days before students in a Texas elementary school were set to begin students in a Texas elementary school summer break, a gunman clad in body armor rushed a gunman clad in body armor way into the school and opened fire on classrooms of young children, killing 19 students and two adults, officials said.",young children,pos,245-259
CNN_0022,CNN,victim,"Just two days before students in a Texas elementary school were set to begin students in a Texas elementary school summer break, a gunman clad in body armor rushed a gunman clad in body armor way into the school and opened fire on classrooms of young children, killing 19 students and two adults, officials said.",19 students,pos,269-280
CNN_0022,CNN,victim,"The 18-year-old gunman, who was killed by law enforcement, is believed to have shot a gunman clad in body armor grandmother before driving to the school to carry out to attack, according to the Texas Department of Public Safety.",was killed by enforcement,dep,28-57
CNN_0022,CNN,victim,"The 18-year-old gunman, who was killed by law enforcement, is believed to have shot a gunman clad in body armor grandmother before driving to the school to carry out to attack, according to the Texas Department of Public Safety.",is believed,dep,59-70
CNN_0022,CNN,victim,Tuesday's tragic event marks the deadliest school shooting in nearly a decade since 26 children and adults were killed at Sandy Hook Elementary School in 2012.,were killed,dep,107-118
CNN_0022,CNN,victim,Tuesday's tragic event marks the deadliest school shooting in nearly a decade since 26 children and adults were killed at Sandy Hook Elementary School in 2012.,Tuesday's tragic event,pos,0-22
CNN_0022,CNN,victim,Tuesday's tragic event marks the deadliest school shooting in nearly a decade since 26 children and adults were killed at Sandy Hook Elementary School in 2012.,the deadliest school shooting,pos,29-58
CNN_0022,CNN,victim,Tuesday's tragic event marks the deadliest school shooting in nearly a decade since 26 children and adults were killed at Sandy Hook Elementary School in 2012.,26 children,pos,84-95
